stage,objective
1,340078.4790400006
2,336232.4187400006
3,291910.47653999925
4,310056.9593399996
5,310056.91284000035
6,310080.46494000126
7,310021.4102400001
8,310010.56713999994
9,310023.10733999964
10,291914.4761813404
11,281727.2825986594
12,310170.2132400004
13,256534.7401399999
14,281764.62184000015
15,256601.06374000013
16,256652.8606400001
17,256577.61033996986
18,268847.6899400302
19,253558.2630400001
20,248421.73554000002
21,245094.69163999998
22,245121.35884000006
23,245209.819737662
24,245149.58724000002
