stage,objective
1,340078.4790400006
2,336243.8652400002
3,373882.74107999913
4,310071.25213999953
5,310010.62984000053
6,310057.32204
7,310033.3488400001
8,310036.7078400003
9,310049.5033400003
10,291907.5697400002
11,291974.1337400004
12,310107.4147399999
13,336242.15584000014
14,803125.1692599999
15,573122.2983600004
16,510775.9562599994
17,532947.3053599996
18,532899.3370599998
19,643744.206665135
20,699055.9323716764
21,802957.02306
22,483932.07953009754
23,640935.368707038
24,251070.59554000015
