stage,objective
1,340078.4790400006
2,510665.58066000044
3,510669.96876000054
4,510700.1969600003
5,510616.4218600001
6,510726.8417600002
7,510638.39626000077
8,510621.4752600007
9,510620.908259999
10,389723.07065999974
11,336339.4419400003
12,510638.8176600002
13,687400.7387600001
14,336287.9458400002
15,707845.5694356803
16,730051.13736
17,716968.9013600005
18,532943.3009599997
19,844392.0557599999
20,678755.8320387686
21,586232.5161966425
22,310279.09854000015
23,453290.65688190656
24,245480.12244
