stage,objective
1,340078.4790400006
2,510665.58066000044
3,373925.0985800009
4,310099.0902399998
5,389683.1717600003
6,369743.80527639017
7,510618.6601599995
8,510666.43016
9,310010.1247399999
10,291860.4520399999
11,336161.5343399998
12,510708.74756000005
13,802996.9677600004
14,803043.6736600008
15,964504.3914599996
16,1.5283800015999991e6
17,1.5281830657000002e6
18,1.5282694141999995e6
19,1.5319138320999993e6
20,1.8630213760000002e6
21,802966.4582600002
22,741238.1633600001
23,253826.20114000008
24,245196.77344000002
