stage,objective
1,2.7002356920000017e6
2,3.0217866455624625e6
3,3.0217662904898003e6
4,3.036337256589152e6
5,4.1043857709748894e6
6,4.1889160677751526e6
7,4.819084348514609e6
8,4.364523123155698e6
9,3.712107507237345e6
10,3.0217708690000027e6
11,2.225836852499999e6
12,2.7002350158754103e6
13,2.1164209809999987e6
14,3.0217745256870613e6
15,2.421446215229716e6
16,1.8630240885000005e6
17,1.2639312347437982e6
18,1.6446104398691617e6
19,2.1164401275885478e6
20,3.021773284499999e6
21,3.0217714715e6
22,3.246098056728664e6
23,2.5366988269583336e6
24,653191.9530073109
