stage,objective
1,2.7002356920000017e6
2,2.209394358018197e6
3,3.0217836229495034e6
4,4.1889212498662174e6
5,3.542431479714729e6
6,3.8792038226375952e6
7,3.69641156198813e6
8,4.364524845818333e6
9,4.364523952982523e6
10,3.0217724617739245e6
11,3.5201727142161205e6
12,3.6964074489215463e6
13,1.478644773500001e6
14,1.8630320181669276e6
15,1.5281747579999994e6
16,716941.5302143684
17,803672.7511113165
18,1.528175375317486e6
19,2.4214317438804694e6
20,1.9002239171080738e6
21,3.216240900958985e6
22,1.4194178578577726e6
23,1.4194720960070945e6
24,382755.10031636414
