stage,objective
1,340078.4790400006
2,510676.9509599991
3,300974.5425027944
4,310071.25214000046
5,310045.19053999986
6,310131.86433999985
7,310058.11534
8,310075.2293400001
9,291911.5033400003
10,256525.6607400002
11,256529.9357400001
12,263767.88894
13,248469.72013999987
14,281745.2503399998
15,291947.7873400003
16,268913.7345400001
17,268783.9987400002
18,255816.880918819
19,253536.84654000006
20,248602.22963999992
21,248470.31654000003
22,256479.49514
23,253596.13654000004
24,245478.16634000003
