stage,objective
1,340078.4790400006
2,336225.4217399992
3,510621.5295599997
4,510648.57015999965
5,510660.7813600004
6,510612.9057599995
7,510633.4097600002
8,510634.30726000015
9,510760.57437592465
10,389649.3953440748
11,336201.6859400002
12,310143.36773999967
13,336245.5527400002
14,716994.8364599999
15,336267.09623999987
16,336230.8373400001
17,389723.6903599999
18,532914.7321599997
19,543331.1009211093
20,720515.7942194091
21,741220.8274600001
22,803026.8868600002
23,376662.5674868154
24,245518.06034000003
