stage,objective
1,340078.4790400006
2,336225.4217399992
3,510637.5235600006
4,532925.94716
5,532922.73336
6,510621.0032599997
7,532910.7422599997
8,532864.3047599997
9,532878.5836599991
10,716944.4302600008
11,716967.1365600005
12,340419.5228108121
13,281723.72364000045
14,336241.9719399996
15,666592.1621581959
16,803763.8984599998
17,803721.7535600001
18,927328.8143600002
19,1.0051869889599998e6
20,1.0053664358600001e6
21,532882.9924600001
22,685163.9845470628
23,274484.3316257109
24,245499.80382706193
