stage,objective
1,340078.4790400006
2,510676.9509599991
3,510639.6272599995
4,532904.6830599997
5,532855.0257600006
6,532910.9249600004
7,532865.4527599998
8,532923.8527600002
9,547498.1562243663
10,717032.449860001
11,716984.9578600004
12,803222.7938599996
13,844449.2803600002
14,663600.6233599996
15,281792.78373999987
16,256622.6056400002
17,281675.1294399998
18,268790.52853999985
19,310090.2179399999
20,373856.61268
21,256475.29903999995
22,256519.86384
23,256517.58052387025
24,640592.8053636348
