stage,objective
1,340078.4790400006
2,389698.8419599999
3,291990.1564399991
4,310058.11583999917
5,310056.31073999964
6,310044.24684000015
7,310070.36773999967
8,310075.2293400001
9,310020.9782400001
10,336234.1269399999
11,336214.8437400004
12,268913.8837400004
13,336459.35384
14,663390.8459599996
15,741386.56886
16,663440.0459599998
17,354331.2599986922
18,473214.48942330154
19,310158.6914396435
20,281851.28914
21,499290.9484032644
22,632364.0760334677
23,1.6707600189701037e6
24,311742.80284000013
