stage,objective
1,340078.4790400006
2,336198.84203999955
3,291901.96334000025
4,256556.41064000037
5,256539.4082399998
6,256665.15713999886
7,256562.80204000045
8,256475.66853999998
9,256541.21103999997
10,256483.00983999996
11,281674.7506400002
12,310135.95234001894
13,248657.31253999984
14,248492.3107400001
15,245177.91223999998
16,245207.48364000022
17,248428.12560187234
18,256537.13528000005
19,268773.6129981277
20,256488.58584000007
21,281661.33644
22,510621.3011599998
23,504280.2705061047
24,1.2818219087000003e6
