stage,objective
1,2.7002356920000017e6
2,1.5281768687151968e6
3,483142.0417536255
4,1.0431957910753638e6
5,1.628741127731204e6
6,1.8630153782422915e6
7,1.5281770384999998e6
8,1.8630181471679583e6
9,3.0217697793306187e6
10,3.021766134842716e6
11,3.712108661756918e6
12,4.3645269091738835e6
13,4.837801816039696e6
14,9.50164178963983e6
15,9.534841061693177e6
16,5.126738213886909e6
17,3.992546717479117e6
18,3.4142047026885264e6
19,3.0217714304788634e6
20,730036.6491443515
21,712768.2697989848
22,1.462941531429539e6
23,1.334062108143296e6
24,1.0219400941011324e6
