stage,objective
1,2.7002356920000017e6
2,988610.4772130772
3,1.043205246365767e6
4,741205.8002589308
5,532847.8010900766
6,532848.8435518127
7,309997.6812507119
8,340078.9517999999
9,336141.20219000056
10,309998.8887022622
11,256467.26659000013
12,773973.0634771958
13,729987.3693849342
14,869631.9379492924
15,2.2093930714999996e6
16,2.565895294000905e6
17,965301.36771248
18,587120.8564494615
19,907658.0802600002
20,741201.1842600005
21,965564.2155477749
22,477282.88913999987
23,281650.806399736
24,245086.4709201122
