stage,objective
1,340078.4790400006
2,336202.6412400007
3,510624.87295999937
4,510639.8432599995
5,510660.7813600004
6,510640.20075999945
7,532907.4967599995
8,510636.82426000014
9,510611.9187599998
10,510618.1381599996
11,336236.15605999995
12,766956.7610101458
13,256669.21444000024
14,281823.76783999987
15,256696.59174000006
16,256597.05363999982
17,256566.17324000015
18,256604.0470400001
19,253568.2721400163
20,248423.74274000002
21,247394.6133177455
22,252159.01904529484
23,245370.78274000002
24,245149.58724000002
