stage,objective
1,2.7002356920000017e6
2,802970.7437996008
3,753253.6710241847
4,1.0432006998985931e6
5,1.0431851338998452e6
6,964402.5046230629
7,1.0051571217193492e6
8,1.1525979862985872e6
9,826347.6339946948
10,2.141853744603522e6
11,1.5427101107605249e6
12,1.4786411291118078e6
13,802948.7710999995
14,336151.4348404566
15,608143.6413963381
16,729986.5676999995
17,765587.8657127013
18,367050.29660071107
19,741197.9147000005
20,532848.7804999999
21,336141.33351632464
22,1.1015268720735959e6
23,309995.64611104125
24,403695.8319214266
