stage,objective
1,2.7002356920000017e6
2,3.2461031489036977e6
3,4.1889264164545387e6
4,4.188922914664328e6
5,4.837806994038716e6
6,5.160468618479922e6
7,8.779848582456306e6
8,9.41896019011797e6
9,9.443358477196038e6
10,3.712111075515561e6
11,3.02176585853827e6
12,2.6121787810156606e6
13,1.0431863349561598e6
14,802946.6525999997
15,1.5281842647911347e6
16,802959.7302682176
17,1.7578983357276283e6
18,1.9691409768401552e6
19,1.6903283365304954e6
20,1.06395830874007e6
21,1.225357765876053e6
22,789815.6745542958
23,1.3536170026796865e6
24,298799.62237026537
