stage,objective
1,340078.4790400006
2,336225.1780399997
3,291930.1412400007
4,310036.34823999926
5,389639.1712599993
6,510618.19545999914
7,478931.2962743202
8,510600.2056599995
9,510618.00295999926
10,389751.07563535776
11,336151.7832399998
12,336378.3132646419
13,281769.6017400003
14,256579.70993999997
15,253728.5674399999
16,256556.55473999982
17,245163.30134299956
18,245156.21350000007
19,245169.4334767412
20,245134.85094003857
21,334731.3416605352
22,245134.28514
23,245140.4034446534
24,245136.84234000003
