stage,objective
1,340078.4790400006
2,336196.216740001
3,373920.9767799992
4,389685.7809599992
5,389649.3843600005
6,510667.2092599999
7,510623.29725999944
8,510619.91826000065
9,510620.908259999
10,389648.44316000026
11,336194.8742399998
12,310232.5209400002
13,336314.11014000047
14,256735.89304
15,253723.65873999987
16,248959.52362632868
17,245205.3880304175
18,256518.01554000005
19,245222.55914953467
20,248404.28044
21,248453.15934
22,245106.60813999997
23,253581.75953999982
24,245192.80524000002
