stage,objective
1,340078.4790400006
2,336196.216740001
3,373922.6054800004
4,389692.3352600001
5,389649.3843600005
6,510727.81825999916
7,310022.3283400005
8,310040.8703399999
9,310016.65024000034
10,336239.5028400002
11,291998.2547399998
12,268826.80193999317
13,256640.82453999994
14,248516.00193999987
15,248567.81954000005
16,245312.49854000006
17,245097.49638632126
18,256496.10743999993
19,268757.0556399999
20,248423.4427400001
21,248471.5714936786
22,245126.43034000002
23,245188.65224000005
24,245206.49444
