stage,objective
1,340078.4790400006
2,389698.8419599999
3,373924.04928000085
4,389745.0871600006
5,510651.6063599996
6,510685.5542600006
7,510614.7626600005
8,510601.95566000044
9,510673.49506000057
10,336168.55683999974
11,336253.9020400001
12,310192.8127400009
13,336239.0488400003
14,663502.0831599999
15,687289.643682492
16,730169.2633600002
17,802983.1614600001
18,1.1231261856908817e6
19,1.0432444754600003e6
20,1.52822413761851e6
21,1.8630386780814896e6
22,476381.0531161891
23,263248.42052259
24,245154.51312663278
