stage,objective
1,340078.4790400006
2,510665.58066000044
3,510654.38756000064
4,510709.5680599995
5,532855.0257600006
6,510643.96796000004
7,510629.3027599994
8,532909.5647599995
9,532860.3577599991
10,716951.7983599994
11,716966.5893600006
12,724587.5989429336
13,336234.64083999954
14,717034.4700600002
15,357281.71699817944
16,336285.3181400001
17,389669.90026
18,532896.4465600001
19,310091.4460395919
20,281674.08224000013
21,310043.51813993976
22,246761.71437376237
23,256512.3179400001
24,920729.4669013488
