stage,objective
1,2.7002356920000017e6
2,3.0217709035307243e6
3,3.5201705937654376e6
4,4.364531210798159e6
5,4.364529727918625e6
6,5.160468261846006e6
7,5.126739469089583e6
8,5.170943886031583e6
9,9.443356292279273e6
10,9.474444662315547e6
11,7.296926521169238e6
12,3.9925481246000007e6
13,3.2461011159007214e6
14,5.126738315509848e6
15,4.837823699096002e6
16,5.126751412485316e6
17,4.3645245596351735e6
18,3.021767949076604e6
19,3.799358051601177e6
20,3.021767451849634e6
21,1.8589067807601718e6
22,1.327899083716903e6
23,261585.35837105312
24,585979.4744640527
