Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
28685.095534612905,17004.43857510456,20241.115326858864,19767.48559909362
14288.261285424884,15389.169308631508,25710.09297109893,22726.481150493357
27055.740642181605,28666.614519795796,35626.72985890382,24476.947532556303
25863.734187258568,8468.961115643411,19396.978238511412,20396.040090323793
21077.201653768167,97012.80932426572,15693.504251903094,16264.692534391845
10506.356851219512,8456.972010748203,15670.39073498661,21214.06603936788
20495.152287649966,40479.27504952161,17901.637863946806,19349.056303448513
19922.845916040522,27911.10985164529,18594.854852185683,22135.15010833092
23182.431475302288,5244.448020126183,25243.713183392807,16018.814784429262
14807.495380395303,27235.66687257426,12021.156576725429,14450.954074326757
