Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
26729.842845315638,4360.207593932391,47338.84801853248,42337.697253703685
23930.200259173133,39870.68683912974,15984.346867841214,36304.35085170544
25735.517267044725,12008.52616735582,45112.64193699829,23021.523328131076
38322.5922579485,25474.193540589044,30057.02711628515,30087.447427075727
24564.45592143717,103675.47643116774,23866.9426183861,26510.623701270113
15206.857978134354,15512.82808247051,44961.524737091546,23131.120156343306
23166.945339194997,34623.851759480654,30632.345252165604,23685.741826783356
25635.13634389656,10228.966611917664,22398.73384444792,32541.25457168902
19985.010921592642,24241.662279612356,11587.674086358056,21666.709176241566
38270.30686324087,9272.824124686536,53501.28454871798,36356.05508739416
