Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
97917.26023915249,180961.59380570523,63032.501107550466,59744.44658912291
46975.437664096906,25373.437646376497,63131.25446984037,72122.64422419172
67332.37131491276,62412.52789012127,84715.18826490732,76415.31075723912
50060.101579783724,114842.38319333064,49742.18833090089,59991.366724536754
30923.06066850024,287776.5244453544,34270.87881631159,31447.80678969812
50481.003871223096,25932.341281165307,120042.84368023023,122181.13127613821
75638.46566546074,36902.33897187814,55778.741445236046,57610.169784273196
45079.07875469828,34160.32216606453,36002.224973516466,49364.06539114055
42058.13386206841,58802.978564116165,37442.02144666123,43223.572583101486
42185.42239466243,33031.93039561919,52071.28081987963,49838.5079245052
