Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
20644.27202500348,29538.982622527266,15793.05769080829,14549.73161713328
19759.13560959573,12231.886982146047,28700.932266789783,21709.364993370484
19734.853758313282,39634.19119586583,25565.486206822545,16287.828022675985
22576.29246257769,2109.3490597992995,15740.8404100154,19126.47188718016
16403.630067421887,148013.9038849612,11701.870162610809,13429.459912830414
12469.974572734805,7693.839872522677,13462.803607695114,15922.78717295785
16198.45942889386,95724.36423788103,13167.513486959495,14907.020075917842
16646.589395506096,13420.950083466516,19485.856884089826,24030.622544510967
16133.117868909527,1298.9848802958702,30781.882114214728,15857.83159375924
13971.0391481525,24998.65273951514,9451.523402482091,13733.761294340966
