Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
39396.01940837745,119336.2992799715,18632.52633053742,29174.549889776154
50290.686922781686,15731.785569421638,80369.65944413887,50467.02881495443
33768.41466864064,51536.40521125479,42147.93049106342,30293.847533021024
67220.63398608124,30931.886392047112,27490.930298460084,49846.09493822262
42473.440552471926,95863.54896221578,15115.170726806531,27276.086464178465
33092.09494408918,35048.5080262403,23828.05555318636,29285.975531330714
47571.34971493783,75038.3566396392,33509.692015065,34416.74781847123
54424.858049195755,26832.88463263072,50687.89362750341,36275.4764406599
43369.298651489946,24182.015275969683,65243.418804910514,40015.068332036644
41742.23816333164,27681.331156753487,30449.876073517546,30937.64842324658
