Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
17326.002278530057,24780.13230578329,15560.024174070124,15367.928723013845
23940.441321664828,23755.767335720448,28338.639418839397,20519.236271460482
18265.350638785807,19408.315306358076,21312.34819175633,15438.166332537385
20958.559728012086,5050.423414195842,14486.810054406971,17939.5791141742
16056.897491922597,51730.90069995992,13521.774825885032,14099.62356944279
13205.081681297626,10694.693211138749,15284.187371395134,17809.046085821494
18486.956999106693,76050.13493684168,14653.653981380168,16269.481475226345
18540.78537886037,13730.962864745788,20081.141428682393,23453.364159221084
14641.336456002737,4077.8456931141745,26931.03271952365,15688.303400449171
17045.570686357976,11626.038023971392,12694.81878788537,14762.981392414154
