Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
32464.374828674354,23991.732804583553,56731.78108818782,49895.01032111329
38571.67406238235,39560.397849276975,51845.08965670671,44682.035315563124
41816.66425682203,66664.44841020073,40679.994595520984,46604.7986651077
46281.55879711416,24955.325532921186,81922.20871968445,56793.11335740463
43465.44169325645,386627.8385443894,37050.220579152316,38813.1879363087
55342.20350514389,78589.76099802075,35856.95309860451,27713.972104139753
31477.641596989484,36001.310161587324,42702.49763066576,48116.013386895705
37534.55249656338,27967.455411872423,35934.646904105444,40570.6833186786
30816.11676971243,61754.54074995929,30531.292829769303,32715.855105561674
39407.86400103817,100652.2608204168,31844.63014864572,37101.442414207806
