Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
33189.372460814935,8349.07503962124,43782.80221637807,43547.08007911401
29894.81510608401,42719.01692944476,21235.11917066368,35493.73837491745
28727.048688747862,20281.51503377033,47757.33650486396,29140.479101402296
44245.70754281907,27119.92277492161,31737.829858761877,31326.86693199366
26155.74186936202,47533.35973710319,29808.046258110953,29987.49120023325
20142.352560914416,13777.97723645848,53108.673132709286,26926.526638847354
27559.288326267917,75562.60248523654,36068.36366838761,30272.558598184332
29752.999134428963,16513.897344032048,31406.025966625995,38575.537868590625
24334.891736718164,24195.06960328555,17043.4450215908,26647.730571034986
32158.83346795538,17397.974874292548,53481.28482699011,38047.95867778111
