Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
21428.241655954225,27403.634388034163,17656.461042893705,16182.563055187687
27909.958656017025,27229.503961914692,34682.055475697,27591.392105946135
17846.645955452736,24312.103140238243,29102.772185018774,20414.603168981008
27297.43282126525,19063.20597038106,15132.705322659956,19519.88636881814
21250.889216798605,100235.90806677824,13226.75998426221,15311.084511691573
17069.886183786493,23818.461239886135,14538.310618282983,20375.432103414343
19587.09872810588,53872.82921513157,16572.831611374055,21809.7381745553
20918.02168858316,10806.505110096143,28548.327623898902,27214.066405678
14981.65864387642,5469.117729916702,34563.24926994054,17092.041369923598
20016.424381872363,11830.912474127554,16418.315153919397,17467.34612685511
