Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
32550.647722505277,23556.14253333714,27358.355399057833,30762.531277706188
19084.978822566794,13241.739427004593,27388.34483691776,32125.004523928787
29750.436057308023,20374.504894344205,46702.7558790071,36982.81760409316
27863.135554331606,8671.196093691906,27390.280261085674,28097.51826357985
24922.166888620704,102380.17381300605,20472.022499472743,21639.276799091684
22225.80779734894,5811.923385965131,70098.38960785759,55789.098180856825
29770.76044333586,37251.01399285837,29229.688192998135,25448.036033930046
30339.01209357349,45094.556403429204,22092.79237954124,26054.97530567786
28876.881710739133,8856.605190744593,27985.004246522523,22242.058786700403
22048.968939282768,16804.051813806327,26179.626436969556,25202.16463281347
