Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
69415.28939207317,24528.213382425387,44975.96500064384,38640.62513341395
46067.09154886294,15040.92909502215,34890.68183476664,29073.755647752125
52273.624682472655,36437.511902334954,42979.91422514444,28615.672720872444
46134.563196194555,66645.8174467876,83312.61086503565,52809.332500331795
82077.21239504075,34370.093950515526,42338.31408310676,32367.11798513039
46334.00401951318,45821.4888916914,33256.644516863875,29518.868547440343
83417.86241443428,34805.555744646386,21735.94231661314,26196.855918989022
68252.34082379179,30595.346048526015,51235.26005998282,25385.31052212524
65878.76506086356,19505.70029522241,22398.46969165446,25017.351208439177
59376.193739024304,37931.90680181563,26850.47859265398,34838.31553595963
