Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
22817.636448159206,6085.564236005114,31763.133908731357,26896.22235308904
15651.473285693097,11833.083960906062,19509.63899427589,24915.927302165594
22103.0407386772,20883.796692096163,29383.608686270665,18696.72505673741
26659.36756832571,26360.17750735263,23528.98250250942,20803.534650057944
26128.448272504713,247779.827813133,19988.60434043362,26410.75954025006
19480.66494970348,51652.53167049236,35202.58085869971,25187.52671938382
19451.992296587967,59323.088653905965,19016.941709112576,17301.096988005185
17238.60845443541,6127.486349013762,16034.367959014215,19622.735306566956
17748.92227806172,23832.63055614501,15137.328960595136,20770.738029606462
29783.31534849602,15237.686722668917,26302.299214150316,18930.693926094507
