Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
26516.878021297118,78674.34086713631,18012.621345967058,20644.63209512212
39656.2345342883,19873.85445800311,59128.92091374578,36136.28533521917
26635.0675700383,33349.97127916282,37066.699719636985,29708.217598841475
32607.94723761052,12104.929403753718,19739.325870477413,32120.070199751248
27667.424755245534,101860.12303412391,17792.836359725105,19953.752288522883
27561.850650950353,24524.498505959364,20113.981716563572,22959.81874467079
33018.018807954824,56982.89707523979,24186.53886144289,28130.471005623043
37201.976641016125,15656.664443350852,36408.49799686064,33275.83943989036
26449.86180885901,13012.440595489916,49960.56487447225,25597.62021767173
27418.588356197997,7467.883650762473,20429.0927175245,26641.616920682834
