State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
0.3076923076923077,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.46153846153846156,0.07692307692307693,0.07692307692307693
0.17647058823529413,0.23529411764705882,0.0,0.0,0.0,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.17647058823529413
0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667
0.03225806451612903,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.0,0.3225806451612903,0.1935483870967742,0.0,0.06451612903225806,0.1935483870967742
0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0
0.0,0.0,0.07692307692307693,0.0,0.02564102564102564,0.23076923076923078,0.5641025641025641,0.0,0.10256410256410256,0.0
0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,0.10526315789473684,0.2631578947368421
0.0,0.06451612903225806,0.06451612903225806,0.0,0.0,0.16129032258064516,0.16129032258064516,0.1935483870967742,0.3225806451612903,0.03225806451612903
0.05,0.15,0.05,0.05,0.0,0.1,0.0,0.15,0.05,0.4
