Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
26939.064987119546,16029.73751555137,46537.965508374116,40295.62323532216
26984.926311615916,20500.957378349067,36513.569984580754,33915.931539941295
26884.662668819998,27618.676729468574,42459.62780957045,35366.107130178265
31480.399003862625,25499.963489730817,63717.562185802075,28610.62813509538
38394.23086870833,293804.1373587356,19897.56178301369,25823.424184401636
29356.912236526074,42945.46939642604,29148.047665412672,27486.488761002525
28602.822981968922,72245.0164281949,25003.338037168334,23119.478021156126
24425.975037741046,10978.786266092051,27970.683751537345,29479.220053592166
22695.444458660186,33579.700326644874,22046.344348751085,27111.515806870288
31900.84823161126,24068.263771676466,24504.361631425614,25610.584429151513
