Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
47353.18506203576,77788.74497644181,42291.1312729306,40510.436947283866
26323.142477799924,32076.98307380609,23200.490205422244,44687.81921955806
47785.96061812273,32341.888748586072,83507.99490317318,64831.280399218536
42374.6982103325,42464.7023381189,46657.77245576645,44543.27854663066
34571.61821664735,183260.8385566281,30323.1770894747,29983.864347308634
25551.879239954764,6509.967980946766,89491.27024628049,76653.17473040348
54557.87449136974,25381.78610141877,43208.61835876938,42554.341824845666
51581.210625757376,38016.269488239705,39036.55803756538,76240.14032592106
32307.954781848,15508.279130901621,28343.75132652574,31339.81237864509
24153.226341807072,21452.60263551298,39019.08802154883,32215.83299263434
