Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
62770.29433766501,75827.89121150656,30515.154930731067,35893.74727793869
67927.69571772877,16154.429433578729,104103.26187214807,54168.1394418739
48574.754457093186,38485.5915343468,48698.53001752765,32935.67490419051
81658.40746778774,66687.61892939609,33654.66971143051,64736.93835921188
54376.97337706916,55349.903209408345,28136.614568912475,35676.64899678341
43372.54101195073,42965.26649470699,33229.42924581675,36338.7165315373
74549.93681444036,93357.5485428409,53879.9836827324,39793.33804196172
70291.12266220097,39254.02189459854,60418.09415536397,36340.158370380974
51388.90253725176,22085.77851693196,44680.50745947737,41224.257674626904
68572.60047937294,39357.32800910345,37042.39565097496,40176.27015716783
