Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
27397.588341887775,133144.18361666807,14673.063779259537,15540.393800584508
31338.552713112145,10768.903138438864,46113.45386673623,35762.41673898553
20513.46593874521,41264.23970894875,37365.71583803247,24117.68621954853
33475.53257065092,12460.808436575038,17983.190045488343,29086.58953123877
19879.451192258995,107545.55535398182,14181.867563110618,15148.880199002126
21651.946836554936,20976.696135992854,16255.43009270291,19309.511282451065
23907.71988419174,60118.55410121835,16941.263479051926,25120.012668792315
26548.80921237046,9733.758785206413,30562.056194188175,26600.655230340904
17217.701655361583,9836.399190123542,43397.313444746476,19261.19832704005
27007.00799284922,6100.32105907249,14656.51811457728,20706.349392797492
