Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
20666.26886886587,4693.265819735953,24653.39478895246,25085.463508817706
15884.023183052428,26464.44460512197,16008.587524038914,22071.908825239967
17010.145292669677,10397.986721938954,27544.41103740485,17875.37856116047
23093.00393421889,44117.33406316956,19458.089184578897,18127.5825505752
19400.918771966073,213786.01988206262,16073.522935630099,20343.467922713982
14281.817782004415,23650.55914889601,29308.5569787614,16962.939873422984
17484.710794637227,24229.79651469341,18721.9862691521,16435.89577546675
15098.97948534295,8364.168134756626,16889.28329042396,18412.009188029864
12215.565663523246,13874.574873308942,12283.615506575416,18077.785654323256
26055.662070824288,16852.40261952764,27662.667068290055,21774.835881445226
