Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
19109.23649383584,6364.527761237625,33142.04834436136,30905.466817310626
20475.913499801794,44933.00365193843,17110.345911118227,27481.297102212287
20193.791911598117,9625.836452852613,36077.52141244313,20640.426843812184
30108.090557053434,29599.55330004042,24529.14930384805,25537.88309902934
21147.802360891084,138541.14749984423,20432.94319195999,25022.32680148019
15906.495329981048,14086.111596740426,36498.84759535754,21275.683535832628
21142.811594810522,32216.720433366667,23530.514294505265,19299.966825939213
21175.39631549436,11597.747297346443,19931.28542834435,23191.15433268032
17157.92214073275,17917.900451377514,13593.456868467974,19840.118677655777
23066.045386273854,3767.405804550299,35236.85364140877,25743.47937589367
