Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
18643.980455812605,1246.611904359096,25565.321493751027,23495.83842928843
16210.172281961632,18267.712451861098,15213.78977509878,20746.31682780562
17354.75461364666,14139.30718155142,32004.993820533957,18950.708171669252
27328.134014916166,30054.444909925325,18634.026472975467,16445.518187193058
16239.270018426643,175846.4170461242,14876.701368842638,17058.81773353093
15301.046546411244,57970.61345481429,28257.57612191443,18337.67928697795
14364.886487272775,37206.30695433376,17080.25152316737,15667.258343077168
11443.514753658868,7843.855618672308,14921.480356398199,15831.081284109438
13804.381501229085,5599.787402456806,12777.67142719381,19053.020013308582
27899.29972585331,10437.422179027128,29191.55960154081,19650.629359924
