Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
49534.691286220805,33318.46088721609,69323.13638986784,44981.669298254055
43161.76885676587,131838.14544373713,28112.505593824888,43101.439998598646
45872.09302228702,21642.03693880189,51538.03558366621,45516.15239813069
54305.022353193206,29624.82119271879,34988.8321331174,40041.326495881876
42500.12586784484,49018.270241238024,32098.990256678986,38751.73330887791
32702.330684344794,33678.67340554294,61213.10222143868,32130.828478218657
31289.662625555822,88672.19920389682,46671.85443373386,40938.379658114274
47900.23375590607,45833.868075969935,37502.329620354656,46080.41143526195
32569.712876916954,26937.455642625788,20295.88173589191,33293.56311896303
48803.918307797,34035.09992554355,76448.37710457959,62314.07377357757
