Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
82684.06160334236,169840.5677588606,67542.24113325968,68676.17606415796
59825.366558762515,77863.29742608393,92365.30439976533,93398.85769040672
74769.05268768927,32427.776208083258,88469.6989602571,75982.54371675244
52225.375164932644,112466.8726594446,46518.69628455708,58514.32058710831
38493.37540547975,197165.89351539064,30561.921550159594,36189.88866576939
43430.62480863104,27130.081351190347,67965.23946403143,69187.41179031765
54063.67810811529,36977.9425230297,35800.89569179441,46639.4283571366
70672.74055226249,36054.796656511746,56923.65646973753,55461.742133242085
38722.22622614905,58220.826949161325,31919.66355282073,36549.869614384435
64220.565362144305,60999.29491103269,44685.21609763514,65337.35467363503
