stage,objective
1,340078.4790400006
2,510771.6849600002
3,510673.0412600003
4,389720.62815999985
5,510651.6063599996
6,510666.64125999995
7,510633.4097600002
8,510620.8257600004
9,510610.97915999964
10,389671.3797599999
11,336202.7117400002
12,510703.36866000015
13,803046.01896
14,716965.7003600001
15,533043.8342599999
16,803155.6644600006
17,803018.2674599998
18,803718.5102599999
19,1.0051977385599539e6
20,1.0053679193599997e6
21,532882.9924600001
22,741609.3785457716
23,310617.92565808655
24,311768.83694000007
