stage,objective
1,340078.4790400006
2,336225.1780399997
3,373874.64127999917
4,389765.2440600004
5,310032.5745400004
6,310071.2553400006
7,310022.32833999954
8,310047.60933999997
9,310027.73784000054
10,510613.75916000083
11,564796.4185203575
12,336274.20723999944
13,803255.9002600005
14,717126.35556
15,573173.0100600002
16,803054.5993600003
17,803731.1334600002
18,532955.8053599996
19,803005.1394599997
20,802959.7194451499
21,802946.0029600002
22,1.4786636900148506e6
23,1.7028105185520938e6
24,1.4267929323999982e6
