stage,objective
1,2.7002356920000017e6
2,2.2094013237449974e6
3,2.2848660355547145e6
4,1.0432050465109199e6
5,1.0051598573627919e6
6,964403.0128429644
7,536272.8673074432
8,579094.0187372062
9,741198.7191600781
10,1.0994380616539624e6
11,1.6287353732031435e6
12,3.021768370200541e6
13,3.021767765533317e6
14,3.9925432035410926e6
15,4.100441684713185e6
16,1.8630266166343652e6
17,337777.9250568105
18,510598.4600599995
19,687216.2376355971
20,729984.3147
21,1.0431859842999997e6
22,802945.6466999999
23,340077.14107703627
24,5.305604806814668e6
