plant,unit,value
1,1,657.0
1,2,1350.0
1,3,1.8
1,4,225.20899999999995
1,5,196.50400000000002
1,6,26.6
1,7,529.0
1,8,7.92
1,9,255.0
1,10,233.9497
1,11,362.84
1,12,293.36
1,13,18.85
1,14,201.14
1,15,14.41
1,16,81.78
1,17,191.76
1,18,618.41
1,19,676.1978952482473
1,20,400.0
1,21,100.0
1,22,200.0
1,23,162.24
1,24,196.86
1,25,26.32
1,26,46.0
1,27,139.4472560790544
1,28,4.8
1,29,11.76
1,30,235.01776401384492
1,31,28.0
1,32,255.42
1,33,245.1
1,34,152.22
1,35,8.32
1,36,61.2
1,37,1028.4109999999998
1,38,834.2379794277668
1,39,0.5
1,40,197.0
1,41,87.5
1,42,177.16
1,43,3.78
2,1,8.58
2,2,371.0400744978379
2,3,368.6
2,4,350.0
2,5,22.54
2,6,69.3
2,7,3.6
2,8,17.598799999999994
2,9,91.75
2,10,128.84759999999997
2,11,255.1584665110209
2,12,358.95059999999995
2,13,1.44
2,14,123.7098
2,15,313.55
2,16,16.4
2,17,608.0
3,1,3.9
3,2,3.3
3,3,10.88
3,4,3.3
3,5,21.478
3,6,28.91148496068247
3,7,28.5
3,8,3.9
3,9,4.5
3,10,200.2
3,11,44.0
3,12,3.9
3,13,4.5
3,14,125.58
3,15,347.0
3,16,80.46
3,17,80.46
3,18,4.5
3,19,30.6
3,20,4.5
3,21,92.4
3,22,3.9
3,23,3.9
3,24,12.36
3,25,19.19238664359529
3,26,7.42
3,27,9.24
3,28,163.4733855207861
3,29,27.0
3,30,18.72
3,31,92.34
3,32,533.0
3,33,199.40602219405534
4,1,89.64
4,2,89.64
