stage,objective
1,2.7002356920000017e6
2,3.021785400742002e6
3,3.9925460511217266e6
4,4.1889296941916794e6
5,3.021773299317606e6
6,3.356870102217898e6
7,3.021771214751594e6
8,3.4836175281164274e6
9,3.02177296777194e6
10,1.3550232879906744e6
11,1.8937551940155216e6
12,340079.46249893215
13,336144.13298999984
14,310027.7714286838
15,437354.2151972288
16,723179.9826935455
17,532771.2604238726
18,256468.82748643798
19,268729.36318999995
20,268727.97118999995
21,334349.34879830875
22,374592.10988029535
23,628443.4724154528
24,379356.61860618263
