stage,objective
1,2.7002356920000017e6
2,2.6839548235e6
3,2.4214397381690145e6
4,802965.6356638186
5,310001.4624129329
6,291862.425084563
7,741199.2054762933
8,336143.6854556482
9,507678.9612100003
10,997513.6671399996
11,1.4874822157873567e6
12,716937.9442599993
13,1.4786454615000002e6
14,2.099934233948443e6
15,2.85468928452033e6
16,3.021769726211656e6
17,3.2603403143835217e6
18,4.819082122881208e6
19,4.028061071747495e6
20,3.5441271614630613e6
21,2.6182874284999995e6
22,4.6384046155e6
23,5.040045827364989e6
24,2.5876841031625075e6
