stage,objective
1,2.7002356920000017e6
2,1.0431895112280995e6
3,1.263936842417255e6
4,802963.7817979753
5,802962.7431708425
6,927262.2500492334
7,1.0431853490273021e6
8,1.8630226174999997e6
9,2.2144365535441227e6
10,1.5281702966637835e6
11,802946.1626999993
12,572993.9415000007
13,802945.0861600004
14,532847.7575599998
15,1.0431858429852054e6
16,532860.2271849755
17,1.0051713884212058e6
18,790367.615877253
19,741211.2096640794
20,310020.1969799935
21,373890.4737706813
22,483797.91312416433
23,253541.80408104183
24,245084.68025750498
