plant,unit,value
1,1,634.5660112890336
1,2,1307.34
1,3,3.744
1,4,146.41372953093094
1,5,117.15159999999939
1,6,16.8
1,7,474.18848356620026
1,8,7.744
1,9,253.63516
1,10,223.0888153236497
1,11,207.29898894694435
1,12,143.03051793618948
1,13,24.36
1,14,105.06823458958849
1,15,18.919567537054448
1,16,48.97498305365788
1,17,115.9534777961498
1,18,315.2201200299403
1,19,331.670153839058
1,20,399.99793999999963
1,21,78.0
1,22,143.09084402133757
1,23,105.11206028726163
1,24,107.92288381436941
1,25,15.68
1,26,40.09460123833924
1,27,77.248
1,28,5.22
1,29,21.504
1,30,130.8232581490007
1,31,51.88782222464597
1,32,178.65553423131672
1,33,154.8
1,34,82.56
1,35,9.6
1,36,63.28466386625224
1,37,696.5269127568944
1,38,471.0557353046162
1,39,0.96
1,40,194.82332
1,41,46.335889396498125
1,42,93.28548954038509
1,43,6.912
2,1,10.376
2,2,200.42691628020418
2,3,203.2018459141126
2,4,319.2
2,5,28.000101754321054
2,6,52.2
2,7,1.992
2,8,13.965680000000074
2,9,59.8
2,10,109.82811999999967
2,11,213.69787999999906
2,12,315.75699999999983
2,13,2.688
2,14,99.77659705160745
2,15,245.62503310726206
2,16,10.61
2,17,381.8391825456922
3,1,2.938
3,2,2.442
3,3,7.424
3,4,2.442
3,5,37.91147242108821
3,6,28.272
3,7,27.9
3,8,2.938
3,9,3.36
3,10,120.44938558523553
3,11,43.95021905078464
3,12,2.912
3,13,3.33
3,14,73.9247736035193
3,15,316.0
3,16,44.104
3,17,44.104
3,18,3.39
3,19,23.143727697055937
3,20,3.36
3,21,55.76052451324436
3,22,2.9817024403580845
3,23,2.93556266768702
3,24,13.39
3,25,22.193200000000132
3,26,7.7808915225741195
3,27,9.846778347940607
3,28,93.0
3,29,15.5
3,30,20.23506515948159
3,31,51.49929581791338
3,32,491.5588901865688
3,33,122.45522472497035
4,1,52.29757444318462
4,2,51.23192528460757
