stage,objective
1,2.7002356920000017e6
2,3.0217834363507032e6
3,3.0217787331637666e6
4,3.1520323140397146e6
5,3.761761441855207e6
6,4.188913798963569e6
7,4.819082538005665e6
8,4.837804394303337e6
9,4.819086302999996e6
10,5.126740939325534e6
11,8.238854880326971e6
12,4.364526461600281e6
13,4.188915368287973e6
14,5.126742759500004e6
15,4.104405119176835e6
16,3.696423705123231e6
17,3.992542248919092e6
18,2.014442399135029e6
19,3.0217729110416137e6
20,870356.1482600002
21,2.0650392158861868e6
22,4.104377658740191e6
23,480205.59347358113
24,247222.18259239983
