stage,objective
1,340078.4790400006
2,336198.8420400005
3,291938.0913399998
4,310078.8212400004
5,310044.1679400001
6,310105.3148399992
7,310027.3433399992
8,510632.6556599997
9,310031.84174000006
10,336195.66394000035
11,336255.2737400001
12,510720.8646600004
13,256708.4488400002
14,281756.50133999996
15,336223.35863999976
16,510703.5501600001
17,510693.3853599997
18,532912.3426600001
19,532895.6147599998
20,741215.2219600002
21,802951.3160600001
22,1.0052181814600001e6
23,1.4619856646534777e6
24,245195.5839399982
