stage,objective
1,340078.4790400006
2,510677.5139600001
3,510664.1073599998
4,532873.2400599997
5,532890.7423599996
6,532955.2582600005
7,532879.7292599995
8,532863.6387600005
9,532891.345759999
10,716992.2488599997
11,717060.2040599994
12,802995.6443600003
13,844449.3116599992
14,1.0432794425600003e6
15,964652.2866600007
16,803777.6261600005
17,1.0432491945599997e6
18,1.2640649719599998e6
19,1.0431960939600002e6
20,1.8630316197999995e6
21,1.8630289535999997e6
22,5.148274869100296e6
23,2.7638437884e6
24,245499.39824
