stage,objective
1,2.7002356920000017e6
2,1.8630278461136892e6
3,2.11642323981712e6
4,1.0431890509495325e6
5,510593.8536600005
6,802946.1227599997
7,803669.6972599998
8,1.2639312122600004e6
9,741201.1308382936
10,1.4733121057256758e6
11,957809.0612158393
12,2.436785748788016e6
13,336141.9165899996
14,309996.9561999645
15,310006.7318040547
16,268757.96713489946
17,403866.9888922747
18,595243.0698480792
19,281653.20359000005
20,268727.97118999995
21,256467.39041999995
22,245087.80068854213
23,245083.1126
24,245083.02260000003
