stage,objective
1,2.7002356920000017e6
2,1.863021995017603e6
3,2.7002484640216604e6
4,1.5281793529408611e6
5,870364.0035002083
6,927269.8665958717
7,869636.6017965078
8,1.0431883962600008e6
9,741201.318260001
10,355611.3372531291
11,340079.5159995053
12,281652.04098999966
13,687215.0011599995
14,389626.3004620597
15,510594.2093187524
16,389632.6128128767
17,389626.96284140553
18,643624.5173782874
19,310005.08731063036
20,389626.91306000017
21,1.0051604075487778e6
22,268730.213303976
23,372933.4981399999
24,245083.88796870183
