plant,unit,value
1,1,646.7865028697056
1,2,1331.3409028936335
1,3,0.0
1,4,80.39565459580258
1,5,47.161
1,6,11.2
1,7,497.26
1,8,0.0
1,9,252.8868
1,10,219.59560000000013
1,11,108.08
1,12,18.785506929194927
1,13,0.0
1,14,27.12
1,15,0.0
1,16,33.06
1,17,77.52
1,18,0.0
1,19,36.68583505442072
1,20,399.9981
1,21,71.0
1,22,128.0
1,23,69.29
1,24,0.0
1,25,7.864999569748356
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,165.12
1,33,103.31371081488547
1,34,0.0
1,35,0.0
1,36,0.0
1,37,614.1649999999994
1,38,139.14185455895552
1,39,0.0
1,40,193.15879999999999
1,41,0.0
1,42,22.66
1,43,0.0
2,1,0.0
2,2,43.65
2,3,44.83395457938084
2,4,309.4
2,5,0.0
2,6,39.6
2,7,0.68
2,8,10.603999999999976
2,9,34.0
2,10,99.42519999999993
2,11,191.03480000000027
2,12,302.2590000000002
2,13,0.0
2,14,91.64699999999995
2,15,223.25
2,16,5.75
2,17,256.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.7000000000000013
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,26.4
3,11,0.0
3,12,0.0
3,13,0.0
3,14,16.56
3,15,302.43234272138557
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,20.46
3,29,0.0
3,30,0.0
3,31,0.0
3,32,468.5300000000001
3,33,0.0
4,1,0.0
4,2,0.0
