stage,objective
1,2.7002356920000017e6
2,3.0217712170068026e6
3,2.1164323775383383e6
4,1.8630259483903572e6
5,2.1164193344093636e6
6,1.4786436582303643e6
7,1.2639318301448189e6
8,1.5319035470854007e6
9,1.8630246985e6
10,2.6121451061402634e6
11,1.9724371712244116e6
12,3.0217702491085306e6
13,3.0217732335e6
14,1.0431911445165277e6
15,802943.215898227
16,336144.861507955
17,340084.9269583039
18,256467.4611141933
19,256468.15275105834
20,248403.7758200001
21,248406.70974000008
22,245087.34204000002
23,245083.83592486172
24,245083.0820590718
