stage,objective
1,2.7002356920000017e6
2,3.021771097286999e6
3,3.992554965118438e6
4,4.188927464978114e6
5,5.170949730135784e6
6,4.83780297601524e6
7,5.126739070114583e6
8,3.490391364500001e6
9,3.0217734184999987e6
10,3.152032840499997e6
11,3.7724901394999996e6
12,1.5281763856000006e6
13,3.0217711080444977e6
14,1.9568621743006036e6
15,1.6366300026086085e6
16,1.8630315938481074e6
17,1.6287365698412973e6
18,2.9621740120505933e6
19,1.9309435619251095e6
20,3.085101947530227e6
21,3.4118661402456984e6
22,359223.0625569776
23,256470.8795392221
24,255754.3144320262
