stage,objective
1,340078.4790400006
2,510677.5139600001
3,510631.7452600002
4,532946.87916
5,532894.0418599993
6,510624.61275999993
7,532876.5272599999
8,532864.3047599997
9,532875.38576
10,716957.8223599996
11,717042.2493600007
12,717086.4198599998
13,803007.2457599994
14,1.0432579205600005e6
15,1.5283723266000003e6
16,1.5282646296999995e6
17,1.0432635384599995e6
18,1.2640004209600007e6
19,1.5282118712e6
20,1.5281934441e6
21,1.5281873613999998e6
22,1.0475074675402385e6
23,710013.267488392
24,1.2818012785999936e6
