stage,objective
1,340078.4790400006
2,336225.4217399992
3,510669.88566000015
4,532988.5571599994
5,532937.53706
6,510659.1803600006
7,532943.9341599997
8,532868.1791600008
9,532865.2431600001
10,716955.0657599997
11,716991.1583600007
12,510788.7666600002
13,797505.8903922457
14,856119.5228342786
15,964546.0883600004
16,1.6159642680327129e6
17,1.5282319078000002e6
18,1.6832165074824002e6
19,1.7279592014063075e6
20,1.5281987337999996e6
21,802980.1534600002
22,858897.1833853042
23,256788.96264000004
24,245505.31544
